trial,vaccine,manufacturer,time_period_start,time_period_end,discount_level,quantity
1,Td,PT_Bio,7,10,2,0.0
1,Td,PT_Bio,7,10,1,47978.0
1,Td,PT_Bio,7,9,2,0.0
1,Td,PT_Bio,7,9,1,47978.0
1,Td,PT_Bio,7,8,2,0.0
1,Td,PT_Bio,7,8,1,47978.0
1,Td,PT_Bio,2,5,2,0.0
1,Td,PT_Bio,2,5,1,0.0
1,Td,PT_Bio,2,4,2,0.0
1,Td,PT_Bio,2,4,1,0.0
1,Td,PT_Bio,2,6,2,0.0
1,Td,PT_Bio,2,6,1,12122.0
1,Td,PT_Bio,2,2,2,0.0
1,Td,PT_Bio,2,2,1,0.0
1,Td,PT_Bio,2,3,2,0.0
1,Td,PT_Bio,2,3,1,0.0
1,Td,PT_Bio,10,10,2,0.0
1,Td,PT_Bio,10,10,1,0.0
1,Td,PT_Bio,9,10,2,0.0
1,Td,PT_Bio,9,10,1,0.0
1,Td,PT_Bio,9,9,2,0.0
1,Td,PT_Bio,9,9,1,0.0
1,Td,PT_Bio,8,10,2,0.0
1,Td,PT_Bio,8,10,1,21268.0
1,Td,PT_Bio,8,9,2,0.0
1,Td,PT_Bio,8,9,1,21268.0
1,Td,PT_Bio,8,8,2,0.0
1,Td,PT_Bio,8,8,1,21268.0
1,Td,PT_Bio,3,5,2,0.0
1,Td,PT_Bio,3,5,1,0.0
1,Td,PT_Bio,3,4,2,0.0
1,Td,PT_Bio,3,4,1,0.0
1,Td,PT_Bio,3,6,2,0.0
1,Td,PT_Bio,3,6,1,12122.0
1,Td,PT_Bio,3,7,2,0.0
1,Td,PT_Bio,3,7,1,38832.0
1,Td,PT_Bio,3,3,2,0.0
1,Td,PT_Bio,3,3,1,0.0
1,Td,PT_Bio,1,5,2,0.0
1,Td,PT_Bio,1,5,1,0.0
1,Td,PT_Bio,1,4,2,0.0
1,Td,PT_Bio,1,4,1,0.0
1,Td,PT_Bio,1,2,2,0.0
1,Td,PT_Bio,1,2,1,0.0
1,Td,PT_Bio,1,3,2,0.0
1,Td,PT_Bio,1,3,1,0.0
1,Td,PT_Bio,1,1,2,0.0
1,Td,PT_Bio,1,1,1,0.0
1,Rotavirus,Serum_Institute,5,5,2,0.0
1,Rotavirus,Serum_Institute,5,5,1,0.0
1,Rotavirus,Serum_Institute,5,6,2,0.0
1,Rotavirus,Serum_Institute,5,6,1,0.0
1,Rotavirus,Serum_Institute,5,7,2,0.0
1,Rotavirus,Serum_Institute,5,7,1,0.0
1,Rotavirus,Serum_Institute,5,9,2,0.0
1,Rotavirus,Serum_Institute,5,9,1,0.0
1,Rotavirus,Serum_Institute,5,8,2,0.0
1,Rotavirus,Serum_Institute,5,8,1,0.0
1,Rotavirus,Serum_Institute,4,5,2,0.0
1,Rotavirus,Serum_Institute,4,5,1,0.0
1,Rotavirus,Serum_Institute,4,4,2,0.0
1,Rotavirus,Serum_Institute,4,4,1,0.0
1,Rotavirus,Serum_Institute,4,6,2,0.0
1,Rotavirus,Serum_Institute,4,6,1,0.0
1,Rotavirus,Serum_Institute,4,7,2,0.0
1,Rotavirus,Serum_Institute,4,7,1,0.0
1,Rotavirus,Serum_Institute,4,8,2,0.0
1,Rotavirus,Serum_Institute,4,8,1,0.0
1,Rotavirus,Serum_Institute,6,6,2,0.0
1,Rotavirus,Serum_Institute,6,6,1,0.0
1,Rotavirus,Serum_Institute,6,7,2,0.0
1,Rotavirus,Serum_Institute,6,7,1,0.0
1,Rotavirus,Serum_Institute,6,10,2,0.0
1,Rotavirus,Serum_Institute,6,10,1,0.0
1,Rotavirus,Serum_Institute,6,9,2,0.0
1,Rotavirus,Serum_Institute,6,9,1,0.0
1,Rotavirus,Serum_Institute,6,8,2,0.0
1,Rotavirus,Serum_Institute,6,8,1,0.0
1,Rotavirus,Serum_Institute,7,7,2,0.0
1,Rotavirus,Serum_Institute,7,7,1,0.0
1,Rotavirus,Serum_Institute,7,10,2,0.0
1,Rotavirus,Serum_Institute,7,10,1,0.0
1,Rotavirus,Serum_Institute,7,9,2,0.0
1,Rotavirus,Serum_Institute,7,9,1,0.0
1,Rotavirus,Serum_Institute,7,8,2,0.0
1,Rotavirus,Serum_Institute,7,8,1,0.0
1,Rotavirus,Serum_Institute,2,5,2,0.0
1,Rotavirus,Serum_Institute,2,5,1,0.0
1,Rotavirus,Serum_Institute,2,4,2,0.0
1,Rotavirus,Serum_Institute,2,4,1,0.0
1,Rotavirus,Serum_Institute,2,6,2,0.0
1,Rotavirus,Serum_Institute,2,6,1,0.0
1,Rotavirus,Serum_Institute,2,2,2,0.0
1,Rotavirus,Serum_Institute,2,2,1,0.0
1,Rotavirus,Serum_Institute,2,3,2,0.0
1,Rotavirus,Serum_Institute,2,3,1,0.0
1,Rotavirus,Serum_Institute,10,10,2,0.0
1,Rotavirus,Serum_Institute,10,10,1,0.0
1,Rotavirus,Serum_Institute,9,10,2,0.0
1,Rotavirus,Serum_Institute,9,10,1,0.0
1,Rotavirus,Serum_Institute,9,9,2,0.0
1,Rotavirus,Serum_Institute,9,9,1,0.0
1,Rotavirus,Serum_Institute,8,10,2,0.0
1,Rotavirus,Serum_Institute,8,10,1,0.0
1,Rotavirus,Serum_Institute,8,9,2,0.0
1,Rotavirus,Serum_Institute,8,9,1,0.0
1,Rotavirus,Serum_Institute,8,8,2,0.0
1,Rotavirus,Serum_Institute,8,8,1,0.0
1,Rotavirus,Serum_Institute,3,5,2,0.0
1,Rotavirus,Serum_Institute,3,5,1,0.0
1,Rotavirus,Serum_Institute,3,4,2,0.0
1,Rotavirus,Serum_Institute,3,4,1,0.0
1,Rotavirus,Serum_Institute,3,6,2,0.0
1,Rotavirus,Serum_Institute,3,6,1,0.0
1,Rotavirus,Serum_Institute,3,7,2,0.0
1,Rotavirus,Serum_Institute,3,7,1,0.0
1,Rotavirus,Serum_Institute,3,3,2,0.0
1,Rotavirus,Serum_Institute,3,3,1,0.0
1,Rotavirus,Serum_Institute,1,5,2,0.0
1,Rotavirus,Serum_Institute,1,5,1,0.0
1,Rotavirus,Serum_Institute,1,4,2,0.0
1,Rotavirus,Serum_Institute,1,4,1,0.0
1,Rotavirus,Serum_Institute,1,2,2,0.0
1,Rotavirus,Serum_Institute,1,2,1,0.0
1,Rotavirus,Serum_Institute,1,3,2,0.0
1,Rotavirus,Serum_Institute,1,3,1,0.0
1,Rotavirus,Serum_Institute,1,1,2,0.0
1,Rotavirus,Serum_Institute,1,1,1,0.0
1,Rotavirus,Bharat_Biotech,5,5,2,0.0
1,Rotavirus,Bharat_Biotech,5,5,1,60100.0
1,Rotavirus,Bharat_Biotech,5,6,2,0.0
1,Rotavirus,Bharat_Biotech,5,6,1,0.0
1,Rotavirus,Bharat_Biotech,5,7,2,0.0
1,Rotavirus,Bharat_Biotech,5,7,1,0.0
1,Rotavirus,Bharat_Biotech,5,9,2,0.0
1,Rotavirus,Bharat_Biotech,5,9,1,0.0
1,Rotavirus,Bharat_Biotech,5,8,2,0.0
1,Rotavirus,Bharat_Biotech,5,8,1,0.0
1,Rotavirus,Bharat_Biotech,4,5,2,0.0
1,Rotavirus,Bharat_Biotech,4,5,1,0.0
1,Rotavirus,Bharat_Biotech,4,4,2,0.0
1,Rotavirus,Bharat_Biotech,4,4,1,60100.0
1,Rotavirus,Bharat_Biotech,4,6,2,0.0
1,Rotavirus,Bharat_Biotech,4,6,1,0.0
1,Rotavirus,Bharat_Biotech,4,7,2,0.0
1,Rotavirus,Bharat_Biotech,4,7,1,0.0
1,Rotavirus,Bharat_Biotech,4,8,2,0.0
1,Rotavirus,Bharat_Biotech,4,8,1,0.0
1,Rotavirus,Bharat_Biotech,6,6,2,0.0
1,Rotavirus,Bharat_Biotech,6,6,1,60100.0
1,Rotavirus,Bharat_Biotech,6,7,2,0.0
1,Rotavirus,Bharat_Biotech,6,7,1,0.0
1,Rotavirus,Bharat_Biotech,6,10,2,0.0
1,Rotavirus,Bharat_Biotech,6,10,1,0.0
1,Rotavirus,Bharat_Biotech,6,9,2,0.0
1,Rotavirus,Bharat_Biotech,6,9,1,0.0
1,Rotavirus,Bharat_Biotech,6,8,2,0.0
1,Rotavirus,Bharat_Biotech,6,8,1,0.0
1,Rotavirus,Bharat_Biotech,7,7,2,0.0
1,Rotavirus,Bharat_Biotech,7,7,1,60100.0
1,Rotavirus,Bharat_Biotech,7,10,2,0.0
1,Rotavirus,Bharat_Biotech,7,10,1,0.0
1,Rotavirus,Bharat_Biotech,7,9,2,0.0
1,Rotavirus,Bharat_Biotech,7,9,1,0.0
1,Rotavirus,Bharat_Biotech,7,8,2,0.0
1,Rotavirus,Bharat_Biotech,7,8,1,0.0
1,Rotavirus,Bharat_Biotech,2,5,2,0.0
1,Rotavirus,Bharat_Biotech,2,5,1,0.0
1,Rotavirus,Bharat_Biotech,2,4,2,0.0
1,Rotavirus,Bharat_Biotech,2,4,1,0.0
1,Rotavirus,Bharat_Biotech,2,6,2,0.0
1,Rotavirus,Bharat_Biotech,2,6,1,0.0
1,Rotavirus,Bharat_Biotech,2,2,2,0.0
1,Rotavirus,Bharat_Biotech,2,2,1,60100.0
1,Rotavirus,Bharat_Biotech,2,3,2,0.0
1,Rotavirus,Bharat_Biotech,2,3,1,0.0
1,Rotavirus,Bharat_Biotech,10,10,2,135380.0
1,Rotavirus,Bharat_Biotech,10,10,1,0.0
1,Rotavirus,Bharat_Biotech,9,10,2,270760.0
1,Rotavirus,Bharat_Biotech,9,10,1,0.0
1,Rotavirus,Bharat_Biotech,9,9,2,135380.0
1,Rotavirus,Bharat_Biotech,9,9,1,0.0
1,Rotavirus,Bharat_Biotech,8,10,2,0.0
1,Rotavirus,Bharat_Biotech,8,10,1,0.0
1,Rotavirus,Bharat_Biotech,8,9,2,0.0
1,Rotavirus,Bharat_Biotech,8,9,1,0.0
1,Rotavirus,Bharat_Biotech,8,8,2,0.0
1,Rotavirus,Bharat_Biotech,8,8,1,60100.0
1,Rotavirus,Bharat_Biotech,3,5,2,0.0
1,Rotavirus,Bharat_Biotech,3,5,1,0.0
1,Rotavirus,Bharat_Biotech,3,4,2,0.0
1,Rotavirus,Bharat_Biotech,3,4,1,0.0
1,Rotavirus,Bharat_Biotech,3,6,2,0.0
1,Rotavirus,Bharat_Biotech,3,6,1,0.0
1,Rotavirus,Bharat_Biotech,3,7,2,0.0
1,Rotavirus,Bharat_Biotech,3,7,1,0.0
1,Rotavirus,Bharat_Biotech,3,3,2,0.0
1,Rotavirus,Bharat_Biotech,3,3,1,60100.0
1,Rotavirus,Bharat_Biotech,1,5,2,0.0
1,Rotavirus,Bharat_Biotech,1,5,1,0.0
1,Rotavirus,Bharat_Biotech,1,4,2,0.0
1,Rotavirus,Bharat_Biotech,1,4,1,0.0
1,Rotavirus,Bharat_Biotech,1,2,2,0.0
1,Rotavirus,Bharat_Biotech,1,2,1,0.0
1,Rotavirus,Bharat_Biotech,1,3,2,0.0
1,Rotavirus,Bharat_Biotech,1,3,1,0.0
1,Rotavirus,Bharat_Biotech,1,1,2,0.0
1,Rotavirus,Bharat_Biotech,1,1,1,60100.0
1,Rotavirus,GSK,5,5,2,0.0
1,Rotavirus,GSK,5,5,1,0.0
1,Rotavirus,GSK,5,6,2,0.0
1,Rotavirus,GSK,5,6,1,0.0
1,Rotavirus,GSK,5,7,2,0.0
1,Rotavirus,GSK,5,7,1,0.0
1,Rotavirus,GSK,5,9,2,0.0
1,Rotavirus,GSK,5,9,1,60100.0
1,Rotavirus,GSK,5,8,2,0.0
1,Rotavirus,GSK,5,8,1,54040.0
1,Rotavirus,GSK,4,5,2,0.0
1,Rotavirus,GSK,4,5,1,0.0
1,Rotavirus,GSK,4,4,2,0.0
1,Rotavirus,GSK,4,4,1,7960.0
1,Rotavirus,GSK,4,6,2,0.0
1,Rotavirus,GSK,4,6,1,0.0
1,Rotavirus,GSK,4,7,2,0.0
1,Rotavirus,GSK,4,7,1,60100.0
1,Rotavirus,GSK,4,8,2,0.0
1,Rotavirus,GSK,4,8,1,60100.0
1,Rotavirus,GSK,6,6,2,0.0
1,Rotavirus,GSK,6,6,1,26400.0
1,Rotavirus,GSK,6,7,2,0.0
1,Rotavirus,GSK,6,7,1,0.0
1,Rotavirus,GSK,6,10,2,0.0
1,Rotavirus,GSK,6,10,1,0.0
1,Rotavirus,GSK,6,9,2,0.0
1,Rotavirus,GSK,6,9,1,60100.0
1,Rotavirus,GSK,6,8,2,0.0
1,Rotavirus,GSK,6,8,1,52140.0
1,Rotavirus,GSK,7,7,2,0.0
1,Rotavirus,GSK,7,7,1,25740.0
1,Rotavirus,GSK,7,10,2,0.0
1,Rotavirus,GSK,7,10,1,60100.0
1,Rotavirus,GSK,7,9,2,0.0
1,Rotavirus,GSK,7,9,1,33700.0
1,Rotavirus,GSK,7,8,2,0.0
1,Rotavirus,GSK,7,8,1,0.0
1,Rotavirus,GSK,2,5,2,0.0
1,Rotavirus,GSK,2,5,1,33700.0
1,Rotavirus,GSK,2,4,2,0.0
1,Rotavirus,GSK,2,4,1,0.0
1,Rotavirus,GSK,2,6,2,0.0
1,Rotavirus,GSK,2,6,1,60100.0
1,Rotavirus,GSK,2,2,2,0.0
1,Rotavirus,GSK,2,2,1,25740.0
1,Rotavirus,GSK,2,3,2,0.0
1,Rotavirus,GSK,2,3,1,0.0
1,Rotavirus,GSK,10,10,2,0.0
1,Rotavirus,GSK,10,10,1,26400.0
1,Rotavirus,GSK,9,10,2,0.0
1,Rotavirus,GSK,9,10,1,34360.0
1,Rotavirus,GSK,9,9,2,0.0
1,Rotavirus,GSK,9,9,1,7960.0
1,Rotavirus,GSK,8,10,2,0.0
1,Rotavirus,GSK,8,10,1,34360.0
1,Rotavirus,GSK,8,9,2,0.0
1,Rotavirus,GSK,8,9,1,7960.0
1,Rotavirus,GSK,8,8,2,0.0
1,Rotavirus,GSK,8,8,1,0.0
1,Rotavirus,GSK,3,5,2,0.0
1,Rotavirus,GSK,3,5,1,0.0
1,Rotavirus,GSK,3,4,2,0.0
1,Rotavirus,GSK,3,4,1,0.0
1,Rotavirus,GSK,3,6,2,0.0
1,Rotavirus,GSK,3,6,1,34360.0
1,Rotavirus,GSK,3,7,2,0.0
1,Rotavirus,GSK,3,7,1,60100.0
1,Rotavirus,GSK,3,3,2,0.0
1,Rotavirus,GSK,3,3,1,0.0
1,Rotavirus,GSK,1,5,2,0.0
1,Rotavirus,GSK,1,5,1,60100.0
1,Rotavirus,GSK,1,4,2,0.0
1,Rotavirus,GSK,1,4,1,0.0
1,Rotavirus,GSK,1,2,2,0.0
1,Rotavirus,GSK,1,2,1,0.0
1,Rotavirus,GSK,1,3,2,0.0
1,Rotavirus,GSK,1,3,1,52140.0
1,Rotavirus,GSK,1,1,2,0.0
1,Rotavirus,GSK,1,1,1,26400.0
1,TT,Serum_Institute,5,5,2,0.0
1,TT,Serum_Institute,5,5,1,0.0
1,TT,Serum_Institute,5,6,2,0.0
1,TT,Serum_Institute,5,6,1,0.0
1,TT,Serum_Institute,5,7,2,0.0
1,TT,Serum_Institute,5,7,1,0.0
1,TT,Serum_Institute,5,9,2,0.0
1,TT,Serum_Institute,5,9,1,0.0
1,TT,Serum_Institute,5,8,2,0.0
1,TT,Serum_Institute,5,8,1,0.0
1,TT,Serum_Institute,4,5,2,0.0
1,TT,Serum_Institute,4,5,1,9.094947017729282e-13
1,TT,Serum_Institute,4,4,2,0.0
1,TT,Serum_Institute,4,4,1,4.547473508864641e-13
1,TT,Serum_Institute,4,6,2,0.0
1,TT,Serum_Institute,4,6,1,0.0
1,TT,Serum_Institute,4,7,2,0.0
1,TT,Serum_Institute,4,7,1,0.0
1,TT,Serum_Institute,4,8,2,0.0
1,TT,Serum_Institute,4,8,1,0.0
1,TT,Serum_Institute,6,6,2,0.0
1,TT,Serum_Institute,6,6,1,0.0
1,TT,Serum_Institute,6,7,2,0.0
1,TT,Serum_Institute,6,7,1,0.0
1,TT,Serum_Institute,6,10,2,0.0
1,TT,Serum_Institute,6,10,1,0.0
1,TT,Serum_Institute,6,9,2,0.0
1,TT,Serum_Institute,6,9,1,0.0
1,TT,Serum_Institute,6,8,2,0.0
1,TT,Serum_Institute,6,8,1,0.0
1,TT,Serum_Institute,7,7,2,0.0
1,TT,Serum_Institute,7,7,1,0.0
1,TT,Serum_Institute,7,10,2,0.0
1,TT,Serum_Institute,7,10,1,0.0
1,TT,Serum_Institute,7,9,2,0.0
1,TT,Serum_Institute,7,9,1,0.0
1,TT,Serum_Institute,7,8,2,0.0
1,TT,Serum_Institute,7,8,1,0.0
1,TT,Serum_Institute,2,5,2,0.0
1,TT,Serum_Institute,2,5,1,0.0
1,TT,Serum_Institute,2,4,2,0.0
1,TT,Serum_Institute,2,4,1,0.0
1,TT,Serum_Institute,2,6,2,0.0
1,TT,Serum_Institute,2,6,1,0.0
1,TT,Serum_Institute,2,2,2,0.0
1,TT,Serum_Institute,2,2,1,2.2737367544323206e-13
1,TT,Serum_Institute,2,3,2,0.0
1,TT,Serum_Institute,2,3,1,0.0
1,TT,Serum_Institute,10,10,2,0.0
1,TT,Serum_Institute,10,10,1,0.0
1,TT,Serum_Institute,9,10,2,0.0
1,TT,Serum_Institute,9,10,1,0.0
1,TT,Serum_Institute,9,9,2,0.0
1,TT,Serum_Institute,9,9,1,0.0
1,TT,Serum_Institute,8,10,2,0.0
1,TT,Serum_Institute,8,10,1,0.0
1,TT,Serum_Institute,8,9,2,0.0
1,TT,Serum_Institute,8,9,1,0.0
1,TT,Serum_Institute,8,8,2,0.0
1,TT,Serum_Institute,8,8,1,0.0
1,TT,Serum_Institute,3,5,2,0.0
1,TT,Serum_Institute,3,5,1,2.7284841053187847e-12
1,TT,Serum_Institute,3,4,2,0.0
1,TT,Serum_Institute,3,4,1,9.094947017729282e-13
1,TT,Serum_Institute,3,6,2,0.0
1,TT,Serum_Institute,3,6,1,2.7284841053187847e-12
1,TT,Serum_Institute,3,7,2,0.0
1,TT,Serum_Institute,3,7,1,2.7284841053187847e-12
1,TT,Serum_Institute,3,3,2,0.0
1,TT,Serum_Institute,3,3,1,0.0
1,TT,Serum_Institute,1,5,2,0.0
1,TT,Serum_Institute,1,5,1,0.0
1,TT,Serum_Institute,1,4,2,0.0
1,TT,Serum_Institute,1,4,1,0.0
1,TT,Serum_Institute,1,2,2,0.0
1,TT,Serum_Institute,1,2,1,0.0
1,TT,Serum_Institute,1,3,2,0.0
1,TT,Serum_Institute,1,3,1,1.3642420526593924e-12
1,TT,Serum_Institute,1,1,2,0.0
1,TT,Serum_Institute,1,1,1,0.0
1,TT,BB_NCIPD,5,5,2,0.0
1,TT,BB_NCIPD,5,5,1,0.0
1,TT,BB_NCIPD,5,6,2,0.0
1,TT,BB_NCIPD,5,6,1,0.0
1,TT,BB_NCIPD,5,7,2,0.0
1,TT,BB_NCIPD,5,7,1,0.0
1,TT,BB_NCIPD,5,9,2,0.0
1,TT,BB_NCIPD,5,9,1,0.0
1,TT,BB_NCIPD,5,8,2,0.0
1,TT,BB_NCIPD,5,8,1,5474.0
1,TT,BB_NCIPD,4,5,2,0.0
1,TT,BB_NCIPD,4,5,1,0.0
1,TT,BB_NCIPD,4,4,2,0.0
1,TT,BB_NCIPD,4,4,1,0.0
1,TT,BB_NCIPD,4,6,2,0.0
1,TT,BB_NCIPD,4,6,1,0.0
1,TT,BB_NCIPD,4,7,2,0.0
1,TT,BB_NCIPD,4,7,1,0.0
1,TT,BB_NCIPD,4,8,2,0.0
1,TT,BB_NCIPD,4,8,1,0.0
1,TT,BB_NCIPD,6,6,2,0.0
1,TT,BB_NCIPD,6,6,1,0.0
1,TT,BB_NCIPD,6,7,2,0.0
1,TT,BB_NCIPD,6,7,1,0.0
1,TT,BB_NCIPD,6,10,2,0.0
1,TT,BB_NCIPD,6,10,1,11585.0
1,TT,BB_NCIPD,6,9,2,0.0
1,TT,BB_NCIPD,6,9,1,11585.0
1,TT,BB_NCIPD,6,8,2,0.0
1,TT,BB_NCIPD,6,8,1,0.0
1,TT,BB_NCIPD,7,7,2,0.0
1,TT,BB_NCIPD,7,7,1,0.0
1,TT,BB_NCIPD,7,10,2,0.0
1,TT,BB_NCIPD,7,10,1,0.0
1,TT,BB_NCIPD,7,9,2,0.0
1,TT,BB_NCIPD,7,9,1,0.0
1,TT,BB_NCIPD,7,8,2,0.0
1,TT,BB_NCIPD,7,8,1,0.0
1,TT,BB_NCIPD,2,5,2,0.0
1,TT,BB_NCIPD,2,5,1,0.0
1,TT,BB_NCIPD,2,4,2,0.0
1,TT,BB_NCIPD,2,4,1,0.0
1,TT,BB_NCIPD,2,6,2,0.0
1,TT,BB_NCIPD,2,6,1,0.0
1,TT,BB_NCIPD,2,2,2,0.0
1,TT,BB_NCIPD,2,2,1,0.0
1,TT,BB_NCIPD,2,3,2,0.0
1,TT,BB_NCIPD,2,3,1,0.0
1,TT,BB_NCIPD,10,10,2,0.0
1,TT,BB_NCIPD,10,10,1,0.0
1,TT,BB_NCIPD,9,10,2,0.0
1,TT,BB_NCIPD,9,10,1,0.0
1,TT,BB_NCIPD,9,9,2,0.0
1,TT,BB_NCIPD,9,9,1,0.0
1,TT,BB_NCIPD,8,10,2,0.0
1,TT,BB_NCIPD,8,10,1,0.0
1,TT,BB_NCIPD,8,9,2,0.0
1,TT,BB_NCIPD,8,9,1,0.0
1,TT,BB_NCIPD,8,8,2,0.0
1,TT,BB_NCIPD,8,8,1,0.0
1,TT,BB_NCIPD,3,5,2,0.0
1,TT,BB_NCIPD,3,5,1,0.0
1,TT,BB_NCIPD,3,4,2,0.0
1,TT,BB_NCIPD,3,4,1,0.0
1,TT,BB_NCIPD,3,6,2,0.0
1,TT,BB_NCIPD,3,6,1,0.0
1,TT,BB_NCIPD,3,7,2,0.0
1,TT,BB_NCIPD,3,7,1,0.0
1,TT,BB_NCIPD,3,3,2,0.0
1,TT,BB_NCIPD,3,3,1,0.0
1,TT,BB_NCIPD,1,5,2,0.0
1,TT,BB_NCIPD,1,5,1,0.0
1,TT,BB_NCIPD,1,4,2,0.0
1,TT,BB_NCIPD,1,4,1,0.0
1,TT,BB_NCIPD,1,2,2,0.0
1,TT,BB_NCIPD,1,2,1,0.0
1,TT,BB_NCIPD,1,3,2,0.0
1,TT,BB_NCIPD,1,3,1,0.0
1,TT,BB_NCIPD,1,1,2,0.0
1,TT,BB_NCIPD,1,1,1,0.0
1,TT,Biological_E,5,5,2,0.0
1,TT,Biological_E,5,5,1,0.0
1,TT,Biological_E,5,6,2,0.0
1,TT,Biological_E,5,6,1,0.0
1,TT,Biological_E,5,7,2,0.0
1,TT,Biological_E,5,7,1,0.0
1,TT,Biological_E,5,9,2,0.0
1,TT,Biological_E,5,9,1,0.0
1,TT,Biological_E,5,8,2,0.0
1,TT,Biological_E,5,8,1,0.0
1,TT,Biological_E,4,5,2,0.0
1,TT,Biological_E,4,5,1,0.0
1,TT,Biological_E,4,4,2,0.0
1,TT,Biological_E,4,4,1,0.0
1,TT,Biological_E,4,6,2,0.0
1,TT,Biological_E,4,6,1,0.0
1,TT,Biological_E,4,7,2,0.0
1,TT,Biological_E,4,7,1,0.0
1,TT,Biological_E,4,8,2,0.0
1,TT,Biological_E,4,8,1,0.0
1,TT,Biological_E,6,6,2,0.0
1,TT,Biological_E,6,6,1,0.0
1,TT,Biological_E,6,7,2,0.0
1,TT,Biological_E,6,7,1,0.0
1,TT,Biological_E,6,10,2,0.0
1,TT,Biological_E,6,10,1,0.0
1,TT,Biological_E,6,9,2,0.0
1,TT,Biological_E,6,9,1,0.0
1,TT,Biological_E,6,8,2,0.0
1,TT,Biological_E,6,8,1,0.0
1,TT,Biological_E,7,7,2,0.0
1,TT,Biological_E,7,7,1,0.0
1,TT,Biological_E,7,10,2,0.0
1,TT,Biological_E,7,10,1,0.0
1,TT,Biological_E,7,9,2,0.0
1,TT,Biological_E,7,9,1,0.0
1,TT,Biological_E,7,8,2,0.0
1,TT,Biological_E,7,8,1,0.0
1,TT,Biological_E,2,5,2,0.0
1,TT,Biological_E,2,5,1,0.0
1,TT,Biological_E,2,4,2,0.0
1,TT,Biological_E,2,4,1,0.0
1,TT,Biological_E,2,6,2,0.0
1,TT,Biological_E,2,6,1,0.0
1,TT,Biological_E,2,2,2,0.0
1,TT,Biological_E,2,2,1,0.0
1,TT,Biological_E,2,3,2,0.0
1,TT,Biological_E,2,3,1,0.0
1,TT,Biological_E,10,10,2,0.0
1,TT,Biological_E,10,10,1,0.0
1,TT,Biological_E,9,10,2,0.0
1,TT,Biological_E,9,10,1,0.0
1,TT,Biological_E,9,9,2,0.0
1,TT,Biological_E,9,9,1,0.0
1,TT,Biological_E,8,10,2,0.0
1,TT,Biological_E,8,10,1,0.0
1,TT,Biological_E,8,9,2,0.0
1,TT,Biological_E,8,9,1,0.0
1,TT,Biological_E,8,8,2,0.0
1,TT,Biological_E,8,8,1,0.0
1,TT,Biological_E,3,5,2,0.0
1,TT,Biological_E,3,5,1,0.0
1,TT,Biological_E,3,4,2,0.0
1,TT,Biological_E,3,4,1,0.0
1,TT,Biological_E,3,6,2,0.0
1,TT,Biological_E,3,6,1,0.0
1,TT,Biological_E,3,7,2,0.0
1,TT,Biological_E,3,7,1,0.0
1,TT,Biological_E,3,3,2,0.0
1,TT,Biological_E,3,3,1,0.0
1,TT,Biological_E,1,5,2,0.0
1,TT,Biological_E,1,5,1,0.0
1,TT,Biological_E,1,4,2,0.0
1,TT,Biological_E,1,4,1,0.0
1,TT,Biological_E,1,2,2,0.0
1,TT,Biological_E,1,2,1,0.0
1,TT,Biological_E,1,3,2,0.0
1,TT,Biological_E,1,3,1,0.0
1,TT,Biological_E,1,1,2,0.0
1,TT,Biological_E,1,1,1,0.0
1,TT,PT_Bio,5,5,2,0.0
1,TT,PT_Bio,5,5,1,0.0
1,TT,PT_Bio,5,6,2,0.0
1,TT,PT_Bio,5,6,1,0.0
1,TT,PT_Bio,5,7,2,0.0
1,TT,PT_Bio,5,7,1,0.0
1,TT,PT_Bio,5,9,2,0.0
1,TT,PT_Bio,5,9,1,32152.0
1,TT,PT_Bio,5,8,2,0.0
1,TT,PT_Bio,5,8,1,5442.0
1,TT,PT_Bio,4,5,2,0.0
1,TT,PT_Bio,4,5,1,0.0
1,TT,PT_Bio,4,4,2,0.0
1,TT,PT_Bio,4,4,1,0.0
1,TT,PT_Bio,4,6,2,0.0
1,TT,PT_Bio,4,6,1,0.0
1,TT,PT_Bio,4,7,2,0.0
1,TT,PT_Bio,4,7,1,0.0
1,TT,PT_Bio,4,8,2,0.0
1,TT,PT_Bio,4,8,1,5442.0
1,TT,PT_Bio,6,6,2,0.0
1,TT,PT_Bio,6,6,1,0.0
1,TT,PT_Bio,6,7,2,0.0
1,TT,PT_Bio,6,7,1,0.0
1,TT,PT_Bio,6,10,2,0.0
1,TT,PT_Bio,6,10,1,60100.0
1,TT,PT_Bio,6,9,2,0.0
1,TT,PT_Bio,6,9,1,32152.0
1,TT,PT_Bio,6,8,2,0.0
1,TT,PT_Bio,6,8,1,5442.0
1,TT,PT_Bio,7,7,2,0.0
1,TT,PT_Bio,7,7,1,0.0
1,TT,PT_Bio,7,10,2,0.0
1,TT,PT_Bio,7,10,1,60100.0
1,TT,PT_Bio,7,9,2,0.0
1,TT,PT_Bio,7,9,1,32152.0
1,TT,PT_Bio,7,8,2,0.0
1,TT,PT_Bio,7,8,1,5442.0
1,TT,PT_Bio,2,5,2,0.0
1,TT,PT_Bio,2,5,1,0.0
1,TT,PT_Bio,2,4,2,0.0
1,TT,PT_Bio,2,4,1,0.0
1,TT,PT_Bio,2,6,2,0.0
1,TT,PT_Bio,2,6,1,0.0
1,TT,PT_Bio,2,2,2,0.0
1,TT,PT_Bio,2,2,1,0.0
